Item ID,Description,Start date,End date,Series ID,Series,Source
794241,"IMMACULATE HEART OF MARY Convent School, MARIAN",1972-04-04,1972-05-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794241
794242,INALA State School,1973-11-20,1973-11-27,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794242
794243,INALA OPPORTUNITY SCHOOL State School,1972-05-06,1972-06-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794243
794244,INALA state high school,1971-04-10,1971-06-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794244
794245,INALA state high school,1971-10-26,1971-10-26,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794245
794246,INALA WEST State School,1973-09-26,1973-02-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794246
794247,INDOOROOPILLY State School,1971-11-25,1971-11-26,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794247
794248,INDOOROOPILLY Infants State School,1973-04-16,1973-04-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794248
794249,INDOOROOPILLY state high school,1971-09-29,1971-09-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794249
794250,INDOOROOPILLY state high school,1971-11-22,1971-11-22,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794250
794251,"INFANT SAVIOUR Convent School, BURLEIGH HEADS",1970-05-27,1970-05-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794251
794252,INGHAM State School,1971-11-15,1971-11-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794252
794253,INGHAM State School,1973-03-09,1973-07-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794253
794254,INGHAM OPPORTUNITY State School,1973-05-28,1973-05-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794254
794255,INGHAM OPPORTUNITY State School,1972-06-13,1972-06-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794255
794256,INGHAM state high school,1971-04-21,1971-04-22,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794256
794257,INGLESIDE State School,1971-07-28,1971-07-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794257
794258,INGLESIDE State School,1973-06-19,1973-06-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794258
794259,INGLEWOOD State School,1877-09-06,1954-11-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794259
794260,INGLEWOOD State School,1972-08-08,1972-10-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794260
794261,INGLEWOOD State School Secondary Department,1971-10-18,1971-10-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794261
794262,INGLEWOOD State School Secondary Department,1971-11-15,1971-11-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794262
794263,INGOLDSBY State School,1971-07-14,1971-07-14,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794263
794264,INGOLDSBY State School,1972-05-30,1972-05-30,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794264
794265,INGOLDSBY State School,1973-07-18,1973-07-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794265
