School Name, No,Type,Locality,Year,Page,QSA Ref,Item ID,Series ID,Notes,Archivist Notes,Index Name,Description,Item ID Source,
Fortitude Valley,,Church England Non Vested School,Brisbane,1874,62,EDU/N3,2545,10782,,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
Fortitude Valley Boys,37,State School,Brisbane,1873,116,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley Boys,37,State School,Brisbane,1873,191,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley Boys,37,State School,Brisbane,1874,63,EDU/N3,2545,10782,,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
Fortitude Valley Boys,37,State School,Brisbane,1875,84,EDU/N5,2547,10782,,Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Fortitude Valley Boys,,Church England Non Vested School,Brisbane,1873,189,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley Girls,38,Non Vested School,Brisbane,1875,88,EDU/N5,2547,10782,"otherwise Roman Catholic Girls School, Wickham St Fortitude Valley ",Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Fortitude Valley Girls,239,State School,Brisbane,1873,117,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Fortitude Valley Girls,239,State School,Brisbane,1874,1,EDU/N3,2545,10782,,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
Fortitude Valley Girls,239,State School,Brisbane,1874,64,EDU/N3,2545,10782,,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
